,path,target
0,PSsample/ROfl1iWhWyw_12050.25-12056.19.wav,sadness
1,PSsample/UPHLmUzadcg_7063.96-7082.57.wav,sadness
2,PSsample/LiGw8Wnne9c_8047.72-8067.17.wav,sadness
3,PSsample/LZETjGQNaNk_20735.4-20755.38.wav,sadness
4,PSsample/lLuRksi0rvY_5215.06-5231.45.wav,sadness
5,PSsample/6brMYGcwDbY_8194.99-8206.09.wav,sadness
6,PSsample/iVix4dxTdZQ_5170.1-5177.45.wav,sadness
7,PSsample/f4h2283GMTA_2180.96-2200.7.wav,sadness
8,PSsample/fBdFnui_Ahs_6208.83-6228.38.wav,sadness
9,PSsample/uyIU9NZ1Ixc_937.37-957.11.wav,sadness
10,PSsample/fBdFnui_Ahs_7302.02-7321.86.wav,sadness
11,PSsample/z7dLHsAfSdI_10535.22-10555.21.wav,sadness
12,PSsample/CYBkG0--J8c_6924.7-6943.64.wav,sadness
13,PSsample/6brMYGcwDbY_13817.05-13836.84.wav,sadness
14,PSsample/dpKsbH3SErQ_16857.33-16877.1.wav,sadness
15,PSsample/XJfk5_KdB2s_7182.02-7195.69.wav,sadness
16,PSsample/5Kq_FBO-iDk_10564.46-10571.18.wav,sadness
17,PSsample/iSWQSOyd9qg_5302.21-5320.98.wav,sadness
18,PSsample/Pm2I_V_CTSQ_18332.61-18351.09.wav,sadness
19,PSsample/czW-aQjn04c_8985.16-9005.02.wav,sadness
20,PSsample/rVfZ1qL88vM_8174.77-8194.56.wav,sadness
21,PSsample/WBXffMn1G1E_4163.3-4183.27.wav,sadness
22,PSsample/sR_p6PbQPeI_20056.11-20075.25.wav,sadness
23,PSsample/3ELsSguCWM4_5728.26-5748.11.wav,sadness
24,PSsample/b0c3WIgmQJ4_6100.56-6105.2.wav,sadness
25,PSsample/akNP4VLqqak_4866.58-4886.11.wav,sadness
26,PSsample/zszY0-vwr70_8203.96-8223.73.wav,sadness
27,PSsample/9wxLAtT0uyc_6598.69-6618.52.wav,sadness
28,PSsample/uvHhJaY_baU_11121.52-11141.0.wav,sadness
