,utterance_id,gender,age,speaker_id,expression,manual_transcription,discrete_emotion_collection_phase,discrete_emotion_annotation_phase,valence_annotation_phase,arousal_annotation_phase,split,path,target
0,1113,m,adult,322,real,MI SMO JEDNA VRSTA ŽIVOTA,neutral,neutral,5.192336333,3.744300377,train,cres_v2.1/audio_files_16000/1113.wav,neutral
1,1107,m,adult,322,real,JA SAM TAKO ZAKLJUČIO POSLIJE TOGA,neutral,neutral,4.940816872,4.399873963,train,cres_v2.1/audio_files_16000/1107.wav,neutral
2,1109,m,adult,322,real,VIDIM VAS CIJELE GODINE A VIDIM I DA VAS SUNCE OBIĐE ZA GODINU DANA,neutral,neutral,6.192533336,3.78097307,train,cres_v2.1/audio_files_16000/1109.wav,neutral
3,1115,m,adult,322,real,TO ZVIJEZDE KAŽU,neutral,neutral,5.65207663,2.88815257,train,cres_v2.1/audio_files_16000/1115.wav,neutral
4,1096,f,adult,317,real,I ONDA SMO IH NAŠLI U NJEMAČKOJ I DONIJELI SMO IH OVDJE KOD NAS,neutral,neutral,5.411217395,4.345662957,train,cres_v2.1/audio_files_16000/1096.wav,neutral
5,1088,m,adult,314,real,ON JE VRLO SISTEMATIČAN PREGLEDAN,neutral,neutral,5.900254836,4.291175674,train,cres_v2.1/audio_files_16000/1088.wav,neutral
6,1075,m,adult,312,real,UPRAVO SE TIM NEKIM DAVNIM VREMENIMA DANAS I BAVIMO,neutral,neutral,6.519023361,2.904207812,train,cres_v2.1/audio_files_16000/1075.wav,neutral
7,1074,m,adult,312,real,A ŠEZDESET MINUTA KOJE SU PRED NAMA ZOVU SE NA RUBU ZNANOSTI,neutral,neutral,5.572027989,3.813881708,train,cres_v2.1/audio_files_16000/1074.wav,neutral
8,1072,m,adult,312,real,NAUČILI SMO RAZVOJ ČOVJEKA  NJEGOVATEHNOLOGIJE PROMATRATI LINEARNO,neutral,neutral,6.39733739,3.1344934,train,cres_v2.1/audio_files_16000/1072.wav,neutral
9,1065,m,adult,305,acted,A ŠTO SE TI IMAŠ BRINUTI ZA MOMKA OD DVADESET TRI GODINE,neutral,anger,5.189713194,4.64426808,train,cres_v2.1/audio_files_16000/1065.wav,anger
10,1061,m,adult,305,acted,JESI SE LIJEPO PROVELA JUČER,neutral,neutral,5.415373427,4.459488,train,cres_v2.1/audio_files_16000/1061.wav,neutral
11,910,m,adult,304,acted,TO SI CIJELI ŽIVOT ŽELIM ZASTAJK ČITAV SI NAM ŽIVOT SJEBAL ZBOG MEDALJE,sadness,sadness,2.978986216,5.525110383,train,cres_v2.1/audio_files_16000/910.wav,sadness
12,1056,m,adult,304,real,ZNANSTVENICI I SUPER RAČUNALA PRIMJENJUJU ČVRSTE PODATKE KAKO BI STVORILI SIMULIRANI VELIKI POTRES,neutral,neutral,6.472104087,3.377698644,train,cres_v2.1/audio_files_16000/1056.wav,neutral
13,903,f,adult,302,acted,CRNI NE ZNAM KAKO DA TI OBJASNIM CIJELU SITUACIJU ZASTAJK UDH VOLIM TE JOŠ UVIJEK ZASTAJK STVARNO TE VO,sadness,fear,2.979374702,6.954466482,train,cres_v2.1/audio_files_16000/903.wav,fear
